epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,519.887,0.51343,0.53946,1.02326,0.7507,0.48338,0.49089,0.39635,0.72177,1.1029,1.17177,0.000367967,0.000367967,0.000367967
77,526.243,0.53725,0.5703,1.08123,0.75176,0.48176,0.49164,0.39861,0.72309,1.11139,1.17284,0.00035382,0.00035382,0.00035382
78,533.528,0.52812,0.55086,1.04598,0.73176,0.49067,0.47987,0.3849,0.7857,1.14283,1.24649,0.000339673,0.000339673,0.000339673
79,539.911,0.47518,0.53298,1.04231,0.75674,0.47936,0.47417,0.38878,0.70482,1.1191,1.15497,0.000325526,0.000325526,0.000325526
80,547.146,0.53615,0.53706,1.04392,0.73861,0.48102,0.47173,0.38751,0.6964,1.12473,1.14482,0.000311379,0.000311379,0.000311379
81,553.732,0.4869,0.49383,1.0269,0.77303,0.46752,0.47264,0.38569,0.6923,1.12994,1.14343,0.000297232,0.000297232,0.000297232
82,560.6,0.44779,0.50725,1.01477,0.76657,0.46663,0.48002,0.38862,0.69767,1.11928,1.14825,0.000283085,0.000283085,0.000283085
83,566.842,0.5088,0.53612,1.01518,0.77428,0.46819,0.47586,0.38707,0.68863,1.1053,1.14189,0.000268938,0.000268938,0.000268938
84,573.973,0.45196,0.48231,1.03827,0.74385,0.48205,0.48178,0.39527,0.68213,1.0877,1.13291,0.000254791,0.000254791,0.000254791
85,580.423,0.49897,0.50909,1.03706,0.75479,0.48021,0.48496,0.39633,0.70424,1.10322,1.1519,0.000240644,0.000240644,0.000240644
86,587.412,0.4895,0.53094,1.02581,0.73831,0.48625,0.47896,0.3903,0.69808,1.10071,1.14517,0.000226497,0.000226497,0.000226497
87,593.574,0.45616,0.47486,1.01607,0.76484,0.48059,0.47492,0.39325,0.66813,1.09465,1.12016,0.000212349,0.000212349,0.000212349
88,600.757,0.44165,0.44838,0.97722,0.7465,0.49225,0.48235,0.4011,0.6615,1.08027,1.11324,0.000198202,0.000198202,0.000198202
89,607.051,0.47227,0.47649,1.01021,0.7813,0.47993,0.49061,0.4043,0.67918,1.08637,1.12348,0.000184055,0.000184055,0.000184055
90,614.155,0.49975,0.54188,1.00179,0.77059,0.48072,0.49165,0.40523,0.68258,1.08702,1.12543,0.000169908,0.000169908,0.000169908
91,623.741,0.405,0.49532,0.9895,0.78366,0.47249,0.48719,0.40864,0.66298,1.10274,1.10633,0.000155761,0.000155761,0.000155761
92,629.741,0.39934,0.45341,0.98727,0.7463,0.48713,0.47876,0.40173,0.66356,1.14622,1.11216,0.000141614,0.000141614,0.000141614
93,636.691,0.3969,0.46319,0.95715,0.78,0.47383,0.47461,0.39719,0.66473,1.14913,1.12002,0.000127467,0.000127467,0.000127467
94,642.929,0.40101,0.46175,0.99841,0.78016,0.47418,0.47438,0.40038,0.65226,1.15379,1.10786,0.00011332,0.00011332,0.00011332
95,650.149,0.37422,0.41378,0.96821,0.78002,0.47356,0.47381,0.39943,0.64472,1.14959,1.09801,9.91726e-05,9.91726e-05,9.91726e-05
96,656.228,0.34807,0.40154,0.95674,0.77542,0.47725,0.46936,0.39625,0.63639,1.14469,1.08785,8.50255e-05,8.50255e-05,8.50255e-05
97,663.272,0.34197,0.39557,0.94465,0.75078,0.48652,0.46664,0.3923,0.63626,1.14566,1.08731,7.08784e-05,7.08784e-05,7.08784e-05
98,669.317,0.35865,0.42208,0.97615,0.74115,0.48365,0.46394,0.38811,0.63433,1.15261,1.08677,5.67313e-05,5.67313e-05,5.67313e-05
99,676.403,0.33388,0.41526,0.94809,0.73883,0.48948,0.46231,0.38619,0.63493,1.16285,1.08845,4.25842e-05,4.25842e-05,4.25842e-05
100,682.583,0.35311,0.40535,0.96893,0.7374,0.48485,0.46156,0.38491,0.63474,1.1658,1.08895,2.84371e-05,2.84371e-05,2.84371e-05
